Date,Price,Open,High,Low,Vol.,Change %
"Jan 03, 2022",1800.1,1830.1,1833,1798.2,168.31K,-1.56%
"Jan 04, 2022",1814.6,1801.1,1817.2,1798.1,167.71K,0.81%
"Jan 05, 2022",1825.1,1815.2,1830.7,1808.2,173.34K,0.58%
"Jan 06, 2022",1789.2,1810.6,1811.6,1785.4,238.64K,-1.97%
"Jan 07, 2022",1797.4,1791,1798.4,1781.3,238.93K,0.46%
"Jan 10, 2022",1798.8,1796.4,1802,1789.3,173.04K,0.08%
"Jan 11, 2022",1818.5,1801.3,1823.1,1799.7,184.15K,1.10%
"Jan 12, 2022",1827.3,1821.3,1828.2,1814.4,192.98K,0.48%
"Jan 13, 2022",1821.4,1825.7,1828.3,1811.8,215.52K,-0.32%
"Jan 14, 2022",1816.5,1822.1,1829.3,1814.2,174.94K,-0.27%
"Jan 16, 2022",1815.75,1816.4,1818.1,1815.15,-,-0.04%
"Jan 17, 2022",1819.05,1815.85,1822.9,1812.25,-,0.18%
"Jan 18, 2022",1812.4,1818.7,1822.9,1804.7,362.94K,-0.37%
"Jan 19, 2022",1843.2,1812.9,1843.9,1809,318.49K,1.70%
"Jan 20, 2022",1842.6,1840.1,1848.5,1836.2,233.86K,-0.03%
"Jan 21, 2022",1831.8,1840.6,1843.7,1828.4,225.25K,-0.59%
"Jan 24, 2022",1841.7,1835.2,1844.9,1829.3,244.33K,0.54%
"Jan 25, 2022",1852.5,1843.6,1854.2,1834.4,197.80K,0.59%
"Jan 26, 2022",1829.7,1848,1850.2,1814.1,270.03K,-1.23%
"Jan 27, 2022",1793.1,1819,1821.4,1790.6,196.04K,-2.00%
"Jan 28, 2022",1785.8,1798.4,1799.1,1779.7,1.30K,-0.41%
"Jan 31, 2022",1796,1791.8,1800,1785.7,1.37K,0.57%
"Feb 01, 2022",1800.8,1798.1,1808.7,1796,2.54K,0.27%
"Feb 02, 2022",1809.5,1800.3,1810.5,1794.5,1.22K,0.48%
"Feb 03, 2022",1803.2,1806.8,1807.6,1787.8,1.18K,-0.35%
"Feb 04, 2022",1806.8,1804.6,1814.5,1792.4,1.62K,0.20%
"Feb 07, 2022",1820.8,1807.8,1823.3,1807.8,1.41K,0.77%
"Feb 08, 2022",1826.8,1820.7,1828.7,1815.7,0.93K,0.33%
"Feb 09, 2022",1835.6,1826.1,1835.8,1824.7,0.88K,0.48%
"Feb 10, 2022",1836.4,1833.1,1842.2,1821,0.79K,0.04%
"Feb 11, 2022",1841.1,1827.4,1866.4,1821.5,0.95K,0.26%
"Feb 14, 2022",1868.3,1861.4,1875,1851.1,0.86K,1.48%
"Feb 15, 2022",1855.1,1872,1880.1,1844.7,0.88K,-0.71%
"Feb 16, 2022",1870.5,1854.3,1873.4,1851.7,0.43K,0.83%
"Feb 17, 2022",1901,1870.6,1902.3,1869.9,0.96K,1.63%
"Feb 18, 2022",1898.8,1901.2,1903.5,1887.5,0.64K,-0.12%
"Feb 20, 2022",1908,1900.8,1909.35,1900.8,-,0.48%
"Feb 21, 2022",1912.05,1907.8,1918.3,1889.7,-,0.21%
"Feb 22, 2022",1906.4,1902.5,1916.8,1888.7,2.19K,-0.30%
"Feb 23, 2022",1909.4,1900.3,1911.5,1890.4,1.98K,0.16%
"Feb 24, 2022",1925.4,1911.1,1975,1880,2.71K,0.84%
"Feb 25, 2022",1887.6,1906.5,1925,1884.4,229.78K,-1.96%
"Feb 28, 2022",1900.7,1921,1935.2,1892.2,249.27K,0.69%
"Mar 01, 2022",1943.8,1908.4,1952.6,1903,224.00K,2.27%
"Mar 02, 2022",1922.3,1945.3,1951.4,1916,227.98K,-1.11%
"Mar 03, 2022",1935.9,1931.7,1944.6,1923.1,180.21K,0.71%
"Mar 04, 2022",1966.6,1938.5,1974.9,1931.5,241.53K,1.59%
"Mar 07, 2022",1995.9,1978.5,2007.5,1964.2,372.19K,1.49%
"Mar 08, 2022",2043.3,2001,2078.8,1985.8,447.65K,2.37%
"Mar 09, 2022",1988.2,2060.2,2068.5,1981,360.35K,-2.70%
"Mar 10, 2022",2000.4,1992.8,2015.1,1975,303.27K,0.61%
"Mar 11, 2022",1985,2000.3,2004,1960.6,262.09K,-0.77%
"Mar 14, 2022",1960.8,1988.7,1994.8,1952,162.20K,-1.22%
"Mar 15, 2022",1929.7,1953.7,1956.9,1908.1,220.37K,-1.59%
"Mar 16, 2022",1909.2,1920.1,1930.1,1895.2,195.46K,-1.06%
"Mar 17, 2022",1943.2,1928.4,1951,1924,149.83K,1.78%
"Mar 18, 2022",1929.3,1943.9,1946.2,1918,150.88K,-0.72%
"Mar 21, 2022",1929.5,1922.4,1941.8,1917.2,146.41K,0.01%
"Mar 22, 2022",1921.5,1936.1,1939.5,1909.8,153.28K,-0.41%
"Mar 23, 2022",1937.3,1920.9,1948.8,1915.6,153.31K,0.82%
"Mar 24, 2022",1962.2,1944.1,1967.2,1937.4,181.20K,1.29%
"Mar 25, 2022",1954.2,1957.8,1965.1,1942.6,147.90K,-0.41%
"Mar 28, 2022",1939.8,1958.7,1959.8,1915.7,181.37K,-0.74%
"Mar 29, 2022",1912.2,1922.4,1929.4,1888.3,128.05K,-1.42%
"Mar 30, 2022",1936.1,1922.4,1940,1917.8,2.38K,1.25%
"Mar 31, 2022",1951.1,1935.4,1951.9,1921.5,1.46K,0.77%
"Apr 01, 2022",1920.9,1939.3,1940.9,1919,1.09K,-1.55%
"Apr 04, 2022",1930.6,1924.5,1938,1917.8,2.01K,0.50%
"Apr 05, 2022",1924.1,1934.4,1945,1918.1,1.19K,-0.34%
"Apr 06, 2022",1919.7,1924.8,1932,1914,1.21K,-0.23%
"Apr 07, 2022",1934.7,1923.8,1937.1,1920.4,1.19K,0.78%
"Apr 08, 2022",1942.4,1931.3,1948.9,1928.7,0.96K,0.40%
"Apr 11, 2022",1945.1,1949.5,1970.8,1940.8,0.40K,0.14%
"Apr 12, 2022",1973.2,1953.5,1979.2,1951,1.00K,1.44%
"Apr 13, 2022",1981.9,1968.6,1982.4,1963.7,0.53K,0.44%
"Apr 14, 2022",1972.2,1977.5,1981.1,1961.2,0.57K,-0.49%
"Apr 18, 2022",1983.6,1974.8,2000,1972.5,0.51K,0.58%
"Apr 19, 2022",1956.3,1978.6,1981,1943.5,0.78K,-1.38%
"Apr 20, 2022",1952.9,1949.9,1957.8,1938.7,0.63K,-0.17%
"Apr 21, 2022",1945.4,1955,1955.2,1935.8,0.47K,-0.38%
"Apr 22, 2022",1931.6,1949.5,1954.2,1926.7,0.67K,-0.71%
"Apr 25, 2022",1893.3,1932.3,1932.3,1890,1.62K,-1.98%
"Apr 26, 2022",1901.5,1898.5,1908.5,1894,0.46K,0.43%
"Apr 27, 2022",1885.8,1903.1,1903.1,1879.2,1.79K,-0.83%
"Apr 28, 2022",1891.3,1886.8,1897.8,1870.9,170.91K,0.29%
"Apr 29, 2022",1911.7,1895.8,1921.3,1893.5,177.14K,1.08%
"May 02, 2022",1863.6,1896.2,1900.4,1853.4,193.83K,-2.52%
"May 03, 2022",1870.6,1863.6,1878.4,1849.7,167.43K,0.38%
"May 04, 2022",1868.8,1868.3,1892,1861.1,161.48K,-0.10%
"May 05, 2022",1875.7,1884.1,1910.7,1872.3,218.39K,0.37%
"May 06, 2022",1882.8,1877.5,1894,1865,194.28K,0.38%
"May 09, 2022",1858.6,1883.7,1885.6,1851,218.82K,-1.29%
"May 10, 2022",1841,1853.9,1864.7,1834.5,260.81K,-0.95%
"May 11, 2022",1853.7,1836.6,1857.8,1830.6,243.56K,0.69%
"May 12, 2022",1824.6,1852.3,1858.8,1820.1,255.61K,-1.57%
"May 13, 2022",1808.2,1821.4,1827.6,1797.2,179.48K,-0.90%
"May 16, 2022",1814,1809.4,1826,1785,159.49K,0.32%
"May 17, 2022",1818.9,1823.9,1834.8,1811,137.29K,0.27%
"May 18, 2022",1816.7,1813,1822.62,1805.25,-,-0.12%
